"Fecha","Sensor","Volumen (Gals)","Distancia (KM)","Ver en Mapa"
"2024-06-15 08:16:11","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:17:11","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:17:32","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:17:41","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:17:50","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:18:11","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:18:41","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:19:11","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:20:11","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:21:08","Sensor unico","27.99","11.90","Ver en Mapa"
"2024-06-15 08:21:11","Sensor unico","27.99","12.00","Ver en Mapa"
"2024-06-15 08:22:11","Sensor unico","27.99","12.30","Ver en Mapa"
"2024-06-15 08:22:35","Sensor unico","27.99","12.40","Ver en Mapa"
"2024-06-15 08:23:11","Sensor unico","27.99","12.70","Ver en Mapa"
"2024-06-15 08:23:14","Sensor unico","27.99","12.70","Ver en Mapa"
"2024-06-15 08:24:11","Sensor unico","27.99","12.90","Ver en Mapa"
"2024-06-15 08:25:11","Sensor unico","27.99","13.00","Ver en Mapa"
"2024-06-15 08:26:11","Sensor unico","27.99","13.00","Ver en Mapa"
"2024-06-15 08:27:11","Sensor unico","27.99","13.00","Ver en Mapa"
"2024-06-15 08:28:11","Sensor unico","27.99","13.00","Ver en Mapa"
"2024-06-15 08:29:11","Sensor unico","27.99","13.10","Ver en Mapa"
"2024-06-15 08:30:11","Sensor unico","27.32","13.10","Ver en Mapa"
"2024-06-15 08:30:23","Sensor unico","27.32","13.10","Ver en Mapa"
"2024-06-15 08:31:11","Sensor unico","27.32","13.20","Ver en Mapa"
"2024-06-15 08:32:11","Sensor unico","27.32","13.30","Ver en Mapa"
"2024-06-15 08:33:11","Sensor unico","27.99","13.50","Ver en Mapa"
"2024-06-15 08:34:11","Sensor unico","27.32","13.60","Ver en Mapa"
"2024-06-15 08:34:20","Sensor unico","27.32","13.60","Ver en Mapa"
"2024-06-15 08:34:23","Sensor unico","27.32","13.60","Ver en Mapa"
"2024-06-15 08:35:11","Sensor unico","27.32","13.70","Ver en Mapa"
"2024-06-15 08:36:11","Sensor unico","27.32","13.80","Ver en Mapa"
"2024-06-15 08:37:11","Sensor unico","27.32","13.80","Ver en Mapa"
"2024-06-15 08:38:11","Sensor unico","27.32","14.00","Ver en Mapa"
"2024-06-15 08:38:41","Sensor unico","27.32","14.10","Ver en Mapa"
"2024-06-15 08:39:11","Sensor unico","27.32","14.20","Ver en Mapa"
"2024-06-15 08:40:11","Sensor unico","27.99","14.20","Ver en Mapa"
"2024-06-15 08:41:11","Sensor unico","28.65","14.20","Ver en Mapa"
"2024-06-15 08:41:26","Sensor unico","28.65","14.20","Ver en Mapa"
"2024-06-15 08:41:29","Sensor unico","28.65","14.20","Ver en Mapa"
"2024-06-15 08:42:11","Sensor unico","28.65","14.20","Ver en Mapa"
"2024-06-15 08:42:38","Sensor unico","28.65","14.30","Ver en Mapa"
"2024-06-15 08:42:44","Sensor unico","28.65","14.30","Ver en Mapa"
"2024-06-15 08:43:02","Sensor unico","28.65","14.40","Ver en Mapa"
"2024-06-15 08:43:05","Sensor unico","28.65","14.40","Ver en Mapa"
"2024-06-15 08:43:11","Sensor unico","27.99","14.40","Ver en Mapa"
"2024-06-15 08:44:11","Sensor unico","27.32","14.40","Ver en Mapa"
"2024-06-15 08:45:11","Sensor unico","27.32","14.50","Ver en Mapa"
"2024-06-15 08:45:34","Sensor unico","27.32","14.50","Ver en Mapa"
"2024-06-15 08:52:36","Sensor unico","28.65","14.50","Ver en Mapa"
"2024-06-15 08:53:00","Sensor unico","28.65","14.60","Ver en Mapa"
"2024-06-15 08:53:30","Sensor unico","28.65","14.70","Ver en Mapa"
"2024-06-15 08:53:33","Sensor unico","28.65","14.70","Ver en Mapa"
"2024-06-15 08:53:36","Sensor unico","28.65","14.70","Ver en Mapa"
"2024-06-15 08:54:30","Sensor unico","27.99","14.80","Ver en Mapa"
"2024-06-15 08:55:30","Sensor unico","27.32","15.00","Ver en Mapa"
"2024-06-15 08:55:51","Sensor unico","27.32","15.00","Ver en Mapa"
"2024-06-15 08:55:54","Sensor unico","27.32","15.00","Ver en Mapa"
"2024-06-15 08:56:09","Sensor unico","27.32","15.10","Ver en Mapa"
"2024-06-15 08:56:30","Sensor unico","27.32","15.10","Ver en Mapa"
"2024-06-15 08:56:48","Sensor unico","27.32","15.10","Ver en Mapa"
"2024-06-15 08:57:30","Sensor unico","27.32","15.30","Ver en Mapa"
"2024-06-15 08:57:42","Sensor unico","27.32","15.30","Ver en Mapa"
"2024-06-15 08:57:45","Sensor unico","27.32","15.30","Ver en Mapa"
"2024-06-15 08:58:33","Sensor unico","27.32","15.60","Ver en Mapa"
"2024-06-15 08:58:45","Sensor unico","27.32","15.60","Ver en Mapa"
"2024-06-15 08:59:12","Sensor unico","27.32","15.70","Ver en Mapa"
"2024-06-15 08:59:33","Sensor unico","27.32","15.80","Ver en Mapa"
"2024-06-15 09:00:33","Sensor unico","27.32","16.00","Ver en Mapa"
"2024-06-15 09:01:06","Sensor unico","27.32","16.00","Ver en Mapa"
"2024-06-15 09:01:12","Sensor unico","27.32","16.00","Ver en Mapa"
"2024-06-15 09:01:33","Sensor unico","27.32","16.00","Ver en Mapa"
"2024-06-15 09:02:33","Sensor unico","27.32","16.00","Ver en Mapa"
"2024-06-15 09:03:33","Sensor unico","27.32","16.30","Ver en Mapa"
"2024-06-15 09:04:33","Sensor unico","27.32","16.60","Ver en Mapa"
"2024-06-15 09:04:51","Sensor unico","27.32","16.60","Ver en Mapa"
"2024-06-15 09:05:18","Sensor unico","27.32","16.70","Ver en Mapa"
"2024-06-15 09:05:21","Sensor unico","27.32","16.70","Ver en Mapa"
"2024-06-15 09:05:33","Sensor unico","27.32","16.70","Ver en Mapa"
"2024-06-15 09:06:33","Sensor unico","27.32","16.70","Ver en Mapa"
"2024-06-15 09:07:33","Sensor unico","27.32","16.80","Ver en Mapa"
"2024-06-15 09:08:33","Sensor unico","27.32","17.00","Ver en Mapa"
"2024-06-15 09:09:33","Sensor unico","27.32","17.10","Ver en Mapa"
"2024-06-15 09:10:33","Sensor unico","26.66","17.10","Ver en Mapa"
"2024-06-15 09:10:48","Sensor unico","26.66","17.10","Ver en Mapa"
"2024-06-15 09:11:33","Sensor unico","26.66","17.10","Ver en Mapa"
"2024-06-15 09:12:33","Sensor unico","27.32","17.10","Ver en Mapa"
"2024-06-15 09:12:39","Sensor unico","27.32","17.10","Ver en Mapa"
"2024-06-15 09:13:33","Sensor unico","27.32","17.20","Ver en Mapa"
"2024-06-15 09:14:33","Sensor unico","27.32","17.30","Ver en Mapa"
"2024-06-15 09:15:24","Sensor unico","26.66","17.30","Ver en Mapa"
"2024-06-15 09:15:27","Sensor unico","26.66","17.30","Ver en Mapa"
"2024-06-15 09:15:33","Sensor unico","26.66","17.30","Ver en Mapa"
"2024-06-15 09:16:33","Sensor unico","27.32","17.30","Ver en Mapa"
"2024-06-15 09:17:33","Sensor unico","27.99","17.30","Ver en Mapa"
"2024-06-15 09:18:33","Sensor unico","27.99","17.60","Ver en Mapa"
"2024-06-15 09:18:45","Sensor unico","27.99","17.60","Ver en Mapa"
"2024-06-15 09:18:48","Sensor unico","27.99","17.60","Ver en Mapa"
"2024-06-15 09:19:33","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:20:33","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:21:33","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:22:33","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:23:33","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:24:27","Sensor unico","27.32","17.70","Ver en Mapa"
"2024-06-15 09:24:33","Sensor unico","27.32","17.80","Ver en Mapa"
"2024-06-15 09:25:33","Sensor unico","27.32","17.90","Ver en Mapa"
"2024-06-15 09:26:09","Sensor unico","27.32","17.90","Ver en Mapa"
"2024-06-15 09:26:33","Sensor unico","27.32","17.90","Ver en Mapa"
"2024-06-15 09:27:33","Sensor unico","27.32","17.90","Ver en Mapa"
"2024-06-15 09:28:33","Sensor unico","27.32","17.90","Ver en Mapa"
"2024-06-15 09:29:06","Sensor unico","27.32","18.00","Ver en Mapa"
"2024-06-15 09:29:33","Sensor unico","27.32","18.10","Ver en Mapa"
"2024-06-15 09:29:36","Sensor unico","27.32","18.10","Ver en Mapa"
"2024-06-15 09:29:42","Sensor unico","27.32","18.10","Ver en Mapa"
"2024-06-15 09:30:33","Sensor unico","27.32","18.10","Ver en Mapa"
"2024-06-15 09:31:33","Sensor unico","26.66","18.10","Ver en Mapa"
"2024-06-15 09:32:27","Sensor unico","26.66","18.30","Ver en Mapa"
"2024-06-15 09:32:33","Sensor unico","26.66","18.40","Ver en Mapa"
"2024-06-15 09:33:33","Sensor unico","26.66","18.50","Ver en Mapa"
"2024-06-15 09:34:33","Sensor unico","26.66","18.50","Ver en Mapa"
"2024-06-15 09:34:42","Sensor unico","26.66","18.50","Ver en Mapa"
"2024-06-15 09:34:48","Sensor unico","26.66","18.50","Ver en Mapa"
"2024-06-15 09:35:06","Sensor unico","26.66","18.50","Ver en Mapa"
"2024-06-15 09:35:33","Sensor unico","27.32","18.60","Ver en Mapa"
"2024-06-15 09:36:33","Sensor unico","26.66","18.70","Ver en Mapa"
"2024-06-15 09:37:33","Sensor unico","26.66","18.70","Ver en Mapa"
"2024-06-15 09:38:29","Sensor unico","26.66","18.80","Ver en Mapa"
"2024-06-15 09:38:37","Sensor unico","26.66","18.80","Ver en Mapa"
"2024-06-15 09:39:31","Sensor unico","27.32","18.80","Ver en Mapa"
"2024-06-15 09:40:31","Sensor unico","27.32","18.80","Ver en Mapa"
"2024-06-15 09:41:31","Sensor unico","27.32","18.80","Ver en Mapa"
"2024-06-15 09:42:31","Sensor unico","27.32","18.80","Ver en Mapa"
"2024-06-15 09:43:16","Sensor unico","27.32","18.80","Ver en Mapa"
"2024-06-15 09:43:31","Sensor unico","27.32","18.90","Ver en Mapa"
"2024-06-15 09:43:37","Sensor unico","27.32","18.90","Ver en Mapa"
"2024-06-15 09:44:31","Sensor unico","27.32","19.10","Ver en Mapa"
"2024-06-15 09:44:48","Sensor unico","27.32","19.10","Ver en Mapa"
"2024-06-15 09:52:07","Sensor unico","26.66","19.10","Ver en Mapa"
"2024-06-15 09:52:58","Sensor unico","26.66","19.10","Ver en Mapa"
"2024-06-15 09:53:58","Sensor unico","26.66","19.10","Ver en Mapa"
"2024-06-15 09:54:25","Sensor unico","26.66","19.10","Ver en Mapa"
"2024-06-15 09:54:46","Sensor unico","26.66","19.20","Ver en Mapa"
"2024-06-15 09:54:58","Sensor unico","26.66","19.20","Ver en Mapa"
"2024-06-15 09:55:58","Sensor unico","26.66","19.30","Ver en Mapa"
"2024-06-15 09:56:58","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 09:57:58","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 09:58:58","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 09:59:46","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 09:59:58","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 10:00:01","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 10:00:16","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 10:00:22","Sensor unico","26.66","19.50","Ver en Mapa"
"2024-06-15 10:00:43","Sensor unico","26.66","19.60","Ver en Mapa"
"2024-06-15 10:00:58","Sensor unico","26.66","19.60","Ver en Mapa"
"2024-06-15 10:01:16","Sensor unico","26.66","19.70","Ver en Mapa"
"2024-06-15 10:01:19","Sensor unico","26.66","19.70","Ver en Mapa"
"2024-06-15 10:01:58","Sensor unico","26.66","19.80","Ver en Mapa"
"2024-06-15 10:02:01","Sensor unico","26.66","19.80","Ver en Mapa"
"2024-06-15 10:02:58","Sensor unico","26.66","19.80","Ver en Mapa"
"2024-06-15 10:03:58","Sensor unico","26.66","19.80","Ver en Mapa"
"2024-06-15 10:04:04","Sensor unico","26.66","19.80","Ver en Mapa"
"2024-06-15 10:04:07","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:04:25","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:04:28","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:04:58","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:05:58","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:06:25","Sensor unico","26.66","19.90","Ver en Mapa"
"2024-06-15 10:06:58","Sensor unico","26.66","20.00","Ver en Mapa"
"2024-06-15 10:07:42","Sensor unico","26.66","20.00","Ver en Mapa"
"2024-06-15 10:09:21","Sensor unico","26.66","20.10","Ver en Mapa"
"2024-06-15 10:10:00","Sensor unico","26.66","20.10","Ver en Mapa"
"2024-06-15 10:10:12","Sensor unico","26.66","20.20","Ver en Mapa"
"2024-06-15 10:10:42","Sensor unico","26.66","20.20","Ver en Mapa"
"2024-06-15 10:10:45","Sensor unico","26.66","20.20","Ver en Mapa"
"2024-06-15 10:11:15","Sensor unico","26.66","20.30","Ver en Mapa"
"2024-06-15 10:11:42","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:11:48","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:11:54","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:12:03","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:12:15","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:12:38","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:14:28","Sensor unico","26.66","20.40","Ver en Mapa"
"2024-06-15 10:15:13","Sensor unico","26.66","20.50","Ver en Mapa"
"2024-06-15 10:16:13","Sensor unico","26.66","20.60","Ver en Mapa"
"2024-06-15 10:16:16","Sensor unico","26.66","20.60","Ver en Mapa"
"2024-06-15 10:17:07","Sensor unico","26.66","20.70","Ver en Mapa"
"2024-06-15 10:17:10","Sensor unico","26.66","20.70","Ver en Mapa"
"2024-06-15 10:17:13","Sensor unico","26.66","20.70","Ver en Mapa"
"2024-06-15 10:18:01","Sensor unico","26.66","20.90","Ver en Mapa"
"2024-06-15 10:18:13","Sensor unico","26.66","20.90","Ver en Mapa"
"2024-06-15 10:18:16","Sensor unico","26.66","20.90","Ver en Mapa"
"2024-06-15 10:19:15","Sensor unico","26.66","20.90","Ver en Mapa"
"2024-06-15 10:21:58","Sensor unico","26.66","21.00","Ver en Mapa"
"2024-06-15 10:22:34","Sensor unico","26.66","21.00","Ver en Mapa"
"2024-06-15 10:22:49","Sensor unico","26.66","21.10","Ver en Mapa"
"2024-06-15 10:22:52","Sensor unico","26.66","21.10","Ver en Mapa"
"2024-06-15 10:23:49","Sensor unico","26.66","21.30","Ver en Mapa"
"2024-06-15 10:24:01","Sensor unico","26.66","21.30","Ver en Mapa"
"2024-06-15 10:24:04","Sensor unico","26.66","21.30","Ver en Mapa"
"2024-06-15 10:24:49","Sensor unico","26.66","21.30","Ver en Mapa"
"2024-06-15 10:25:49","Sensor unico","24.68","21.40","Ver en Mapa"
"2024-06-15 10:25:58","Sensor unico","24.68","21.40","Ver en Mapa"
"2024-06-15 10:26:22","Sensor unico","24.68","21.40","Ver en Mapa"
"2024-06-15 10:26:49","Sensor unico","26","21.60","Ver en Mapa"
"2024-06-15 10:27:16","Sensor unico","26.66","21.70","Ver en Mapa"
"2024-06-15 10:27:49","Sensor unico","26","21.70","Ver en Mapa"
"2024-06-15 10:28:49","Sensor unico","26","21.70","Ver en Mapa"
"2024-06-15 10:29:49","Sensor unico","26","21.80","Ver en Mapa"
"2024-06-15 10:29:58","Sensor unico","26","21.80","Ver en Mapa"
"2024-06-15 10:30:49","Sensor unico","26","21.80","Ver en Mapa"
"2024-06-15 10:31:49","Sensor unico","26.66","21.80","Ver en Mapa"
"2024-06-15 10:32:49","Sensor unico","26.66","21.80","Ver en Mapa"
"2024-06-15 10:33:49","Sensor unico","26.66","21.80","Ver en Mapa"
"2024-06-15 10:34:49","Sensor unico","26.66","21.80","Ver en Mapa"
"2024-06-15 10:35:04","Sensor unico","26.66","21.80","Ver en Mapa"
"2024-06-15 10:35:49","Sensor unico","26.66","22.00","Ver en Mapa"
"2024-06-15 10:36:04","Sensor unico","26.66","22.00","Ver en Mapa"
"2024-06-15 10:36:22","Sensor unico","26.66","22.10","Ver en Mapa"
"2024-06-15 10:36:28","Sensor unico","26.66","22.10","Ver en Mapa"
"2024-06-15 10:36:34","Sensor unico","26.66","22.10","Ver en Mapa"
"2024-06-15 10:36:49","Sensor unico","26.66","22.20","Ver en Mapa"
"2024-06-15 10:37:49","Sensor unico","26","22.30","Ver en Mapa"
"2024-06-15 10:38:40","Sensor unico","26","22.40","Ver en Mapa"
"2024-06-15 10:38:49","Sensor unico","26","22.40","Ver en Mapa"
"2024-06-15 10:39:18","Sensor unico","26.66","22.40","Ver en Mapa"
"2024-06-15 10:44:59","Sensor unico","26.66","22.40","Ver en Mapa"
"2024-06-15 10:45:50","Sensor unico","26.66","22.50","Ver en Mapa"
"2024-06-15 10:46:32","Sensor unico","26.66","22.60","Ver en Mapa"
"2024-06-15 10:46:50","Sensor unico","26.66","22.70","Ver en Mapa"
"2024-06-15 10:47:50","Sensor unico","26","22.70","Ver en Mapa"
"2024-06-15 10:48:50","Sensor unico","26","22.90","Ver en Mapa"
"2024-06-15 10:49:37","Sensor unico","26","22.90","Ver en Mapa"
"2024-06-15 10:53:23","Sensor unico","26","22.90","Ver en Mapa"
"2024-06-15 10:54:05","Sensor unico","26","22.90","Ver en Mapa"
"2024-06-15 10:55:05","Sensor unico","26","23.00","Ver en Mapa"
"2024-06-15 10:56:05","Sensor unico","26","23.10","Ver en Mapa"
"2024-06-15 10:57:05","Sensor unico","26.66","23.10","Ver en Mapa"
"2024-06-15 10:58:02","Sensor unico","26.66","23.20","Ver en Mapa"
"2024-06-15 10:58:05","Sensor unico","26.66","23.20","Ver en Mapa"
"2024-06-15 10:58:35","Sensor unico","26.66","23.30","Ver en Mapa"
"2024-06-15 10:58:49","Sensor unico","26.66","23.30","Ver en Mapa"
"2024-06-15 11:17:53","Sensor unico","26","23.30","Ver en Mapa"
"2024-06-15 11:18:38","Sensor unico","26","23.40","Ver en Mapa"
"2024-06-15 11:18:41","Sensor unico","26","23.40","Ver en Mapa"
"2024-06-15 11:18:47","Sensor unico","26","23.40","Ver en Mapa"
"2024-06-15 11:19:29","Sensor unico","26","23.50","Ver en Mapa"
"2024-06-15 11:19:38","Sensor unico","26","23.50","Ver en Mapa"
"2024-06-15 11:19:41","Sensor unico","26","23.50","Ver en Mapa"
"2024-06-15 11:20:41","Sensor unico","26","23.60","Ver en Mapa"
"2024-06-15 11:21:35","Sensor unico","26","23.80","Ver en Mapa"
"2024-06-15 11:21:41","Sensor unico","26","23.80","Ver en Mapa"
"2024-06-15 11:22:14","Sensor unico","26","23.90","Ver en Mapa"
"2024-06-15 11:22:41","Sensor unico","26","23.90","Ver en Mapa"
"2024-06-15 11:22:56","Sensor unico","26","23.90","Ver en Mapa"
"2024-06-15 11:23:41","Sensor unico","26","23.90","Ver en Mapa"
"2024-06-15 11:24:41","Sensor unico","26","23.90","Ver en Mapa"
"2024-06-15 11:25:41","Sensor unico","26","24.10","Ver en Mapa"
"2024-06-15 11:26:38","Sensor unico","26","24.20","Ver en Mapa"
"2024-06-15 11:26:41","Sensor unico","26","24.20","Ver en Mapa"
"2024-06-15 11:27:35","Sensor unico","26","24.20","Ver en Mapa"
"2024-06-15 11:27:41","Sensor unico","26","24.20","Ver en Mapa"
"2024-06-15 11:28:41","Sensor unico","26","24.30","Ver en Mapa"
"2024-06-15 11:29:41","Sensor unico","26","24.30","Ver en Mapa"
"2024-06-15 11:30:23","Sensor unico","26","24.40","Ver en Mapa"
"2024-06-15 11:30:41","Sensor unico","26","24.40","Ver en Mapa"
"2024-06-15 11:31:41","Sensor unico","26","24.40","Ver en Mapa"
"2024-06-15 11:32:41","Sensor unico","26","24.60","Ver en Mapa"
"2024-06-15 11:33:41","Sensor unico","26","24.90","Ver en Mapa"
"2024-06-15 11:34:02","Sensor unico","26","24.90","Ver en Mapa"
"2024-06-15 11:34:08","Sensor unico","26","24.90","Ver en Mapa"
"2024-06-15 11:34:41","Sensor unico","26","25.20","Ver en Mapa"
"2024-06-15 11:35:41","Sensor unico","26","25.70","Ver en Mapa"
"2024-06-15 11:36:41","Sensor unico","26","26.20","Ver en Mapa"
"2024-06-15 11:37:41","Sensor unico","26","26.30","Ver en Mapa"
"2024-06-15 11:38:41","Sensor unico","26","26.30","Ver en Mapa"
"2024-06-15 11:39:41","Sensor unico","26","26.30","Ver en Mapa"
"2024-06-15 11:40:41","Sensor unico","26","26.30","Ver en Mapa"
